,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
408,1,0,3.9,84,32,88,1756,400.0,9062
409,1,0,3.5,88,1,78,2556,350.0,9062
410,1,0,3.5,179,1,27,1914,600.0,9062
411,1,0,3.8,61,4,78,1579,100.0,9062
412,1,0,3.7,128,84,27,1927,450.0,9062
413,1,0,3.8,339,32,78,2553,400.0,1280
414,1,0,4.1,449,4,78,2620,100.0,9062
415,1,0,4.1,210,32,42,343,150.0,9062
416,1,0,3.7,57,4,78,1599,200.0,9062
417,1,0,3.0,213,1,78,2226,400.0,9062
418,1,0,3.2,208,32,17,2673,250.0,7350
419,1,0,3.8,70,1,78,2455,100.0,215
420,1,0,4.0,219,4,19,733,600.0,9062
421,1,0,3.7,59,1,78,2280,200.0,9062
422,1,0,3.1,10,1,78,1277,500.0,9062
423,1,0,3.0,9,49,78,1343,400.0,9062
424,1,0,3.7,124,49,27,496,750.0,9062
425,1,0,3.7,19,49,78,2455,100.0,184
426,1,0,0.0,0,32,92,1818,300.0,9062
427,1,0,3.3,4,4,78,1471,150.0,9062
428,1,0,3.3,4,49,40,1217,150.0,9062
429,1,0,3.8,21,4,40,1496,200.0,9062
430,1,0,3.4,8,1,79,2463,250.0,126
431,1,0,3.5,10,49,78,2009,400.0,9062
432,1,0,0.0,0,1,78,2152,400.0,9062
433,1,0,3.5,10,49,78,1818,400.0,7088
434,1,0,3.2,4,49,78,1778,200.0,9062
435,1,0,3.1,4,1,39,1818,350.0,4976
436,1,0,0.0,0,84,78,1779,300.0,9062
437,1,0,3.6,16,29,92,1462,500.0,9062
438,1,0,0.0,0,49,92,260,300.0,2950
439,1,0,3.4,12,32,78,1368,300.0,9062
440,1,0,0.0,0,32,0,260,150.0,7147
441,1,0,3.9,14,32,27,2200,600.0,7396
442,1,0,3.7,0,32,78,1999,300.0,1187
443,1,0,2.8,5,13,92,2489,199.0,9062
444,1,0,3.3,5,4,28,2556,800.0,9062
445,1,0,3.5,15,1,78,2224,250.0,9062
446,1,0,3.4,4,4,27,2070,500.0,9062
447,1,0,0.0,0,57,46,2406,250.0,9062
448,1,0,3.6,17,4,78,863,300.0,9062
449,1,0,0.0,0,1,78,2394,200.0,9062
450,1,0,0.0,0,4,78,2306,300.0,9062
451,1,0,3.3,6,1,78,2547,500.0,3331
452,1,0,3.4,10,1,78,2455,100.0,9062
453,1,0,0.0,0,4,78,2310,200.0,9062
454,1,1,4.1,775,1,27,2152,800.0,9062
455,1,1,4.2,2022,32,27,2200,1000.0,9062
